       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        903 27 May 2025 11:32:49     38.353    12.2379  34.449030     1.6492 5.3080e-02    279.257    100.252     38.000    29.4389    22.2318    1491.64 0.0000e+00
        911 27 May 2025 11:32:50     37.343    12.2348  34.442474     1.6484 5.3117e-02    279.450    100.260     37.000    29.4355    22.2298    1491.61 0.0000e+00
        918 27 May 2025 11:32:52     36.334    12.2316  34.434647     1.5706 5.3100e-02    278.960    100.022     36.000    29.4310    22.2268    1491.58 0.0000e+00
        926 27 May 2025 11:32:54     35.325    12.2193  34.398784     1.6302 5.3125e-02    278.810     99.926     35.000    29.4070    22.2105    1491.49 0.0000e+00
        934 27 May 2025 11:32:56     34.315    12.1960  34.349211     1.6723 5.3099e-02    278.919     99.931     34.000    29.3787    22.1928    1491.36 0.0000e+00
        941 27 May 2025 11:32:58     33.306    12.1787  34.316396     1.7497 5.3087e-02    278.815     99.864     33.000    29.3615    22.1826    1491.26 0.0000e+00
        949 27 May 2025 11:33:00     32.296    12.1650  34.289220     1.6763 5.3102e-02    278.812     99.833     32.000    29.3468    22.1737    1491.18 0.0000e+00
        957 27 May 2025 11:33:02     31.287    12.1545  34.265236     1.6866 5.3098e-02    278.502     99.703     31.000    29.3327    22.1646    1491.11 0.0000e+00
        965 27 May 2025 11:33:04     30.278    12.1442  34.240957     1.7700 5.3086e-02    278.758     99.783     30.000    29.3181    22.1551    1491.04 0.0000e+00
        972 27 May 2025 11:33:06     29.268    12.1361  34.226411     1.8491 5.3105e-02    278.487     99.671     29.000    29.3110    22.1511    1490.99 0.0000e+00
        980 27 May 2025 11:33:08     28.259    12.1307  34.217620     1.8184 5.4629e-02    278.388     99.614     28.000    29.3072    22.1491    1490.95 0.0000e+00
        988 27 May 2025 11:33:10     27.250    12.1263  34.209348     1.7911 5.8566e-02    278.577     99.669     27.000    29.3032    22.1467    1490.91 0.0000e+00
        995 27 May 2025 11:33:11     26.240    12.1192  34.194764     1.7583 7.1461e-02    278.611     99.671     26.000    29.2954    22.1420    1490.86 0.0000e+00
       1003 27 May 2025 11:33:13     25.231    12.1131  34.183426     1.8927 9.4077e-02    278.654     99.681     25.000    29.2897    22.1387    1490.82 0.0000e+00
       1010 27 May 2025 11:33:15     24.222    12.1097  34.175041     1.8161 1.2710e-01    278.735     99.707     24.000    29.2848    22.1354    1490.78 0.0000e+00
       1018 27 May 2025 11:33:17     23.212    12.1073  34.169920     1.8794 1.6203e-01    279.077     99.821     23.000    29.2822    22.1338    1490.75 0.0000e+00
       1025 27 May 2025 11:33:19     22.203    12.1055  34.166729     1.8411 2.0625e-01    278.255     99.516     22.000    29.2809    22.1332    1490.73 0.0000e+00
       1033 27 May 2025 11:33:21     21.194    12.1039  34.160140     1.9059 2.7031e-01    278.712     99.595     21.000    29.2763    22.1299    1490.70 0.0000e+00
       1041 27 May 2025 11:33:23     20.185    12.1005  34.148835     1.9147 3.5529e-01    278.209     99.260     20.000    29.2686    22.1245    1490.66 0.0000e+00
       1049 27 May 2025 11:33:25     19.175    12.0874  34.095607     1.8917 4.6694e-01    277.395     98.900     19.000    29.2286    22.0959    1490.56 0.0000e+00
       1056 27 May 2025 11:33:27     18.166    12.0451  33.976604     1.8469 6.3115e-01    277.348     98.812     18.000    29.1490    22.0418    1490.30 0.0000e+00
       1064 27 May 2025 11:33:29     17.157    12.0142  33.897774     1.8984 8.3966e-01    277.161     98.631     17.000    29.0984    22.0080    1490.11 0.0000e+00
       1071 27 May 2025 11:33:31     16.147    12.0059  33.811231     2.0832 1.1193e+00    276.001     98.086     16.000    29.0229    21.9511    1489.98 0.0000e+00
       1079 27 May 2025 11:33:32     15.138    12.0082  33.639787     2.1898 1.5071e+00    274.235     97.270     15.000    28.8585    21.8233    1489.77 0.0000e+00
       1086 27 May 2025 11:33:34     14.129    12.0043  33.434061     2.4275 2.0505e+00    272.674     96.632     14.000    28.6665    21.6751    1489.51 0.0000e+00
       1094 27 May 2025 11:33:36     13.120    11.9938  33.161102     2.5006 2.8041e+00    271.965     96.357     13.000    28.4158    21.4828    1489.16 0.0000e+00
       1102 27 May 2025 11:33:38     12.110    11.9738  32.994205     2.5162 3.8530e+00    271.982     96.336     12.000    28.2730    21.3757    1488.91 0.0000e+00
       1111 27 May 2025 11:33:40     11.101    11.9652  32.947540     2.5063 5.2885e+00    271.556     96.164     11.000    28.2356    21.3482    1488.81 0.0000e+00
       1119 27 May 2025 11:33:43     10.092    11.9625  32.907309     2.5952 7.3381e+00    270.729     95.856     10.000    28.1999    21.3209    1488.75 0.0000e+00
       1128 27 May 2025 11:33:45      9.083    11.9620  32.865414     2.6306 1.0313e+01    270.682     95.823      9.000    28.1609    21.2908    1488.68 0.0000e+00
       1137 27 May 2025 11:33:47      8.074    11.9609  32.842569     2.6465 1.4604e+01    270.483     95.693      8.000    28.1404    21.2751    1488.64 0.0000e+00
       1145 27 May 2025 11:33:49      7.064    11.9596  32.817042     2.7102 2.0838e+01    269.878     95.391      7.000    28.1175    21.2576    1488.59 0.0000e+00
       1154 27 May 2025 11:33:51      6.055    11.9573  32.736771     2.6422 3.0127e+01    269.191     95.048      6.000    28.0436    21.2007    1488.47 0.0000e+00
       1162 27 May 2025 11:33:53      5.046    11.9540  32.603908     2.7151 4.3943e+01    268.575     94.655      5.000    27.9205    21.1059    1488.30 0.0000e+00
       1170 27 May 2025 11:33:55      4.037    11.9514  32.439857     3.0678 6.5940e+01    268.224     94.405      4.000    27.7674    20.9878    1488.09 0.0000e+00
       1178 27 May 2025 11:33:57      3.028    11.9522  32.188438     3.0788 1.0155e+02    270.567     94.423      3.000    27.5292    20.8031    1487.80 0.0000e+00
       1185 27 May 2025 11:33:59      2.018    11.9608  31.866952     3.1641 1.7398e+02    271.739     94.479      2.000    27.2195    20.5618    1487.44 0.0000e+00
       1194 27 May 2025 11:34:01      1.009    12.0150  30.702710     3.4190 3.7679e+02    290.349     90.229      1.000    26.0865    19.6751    1486.27 0.0000e+00
