       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        376 27 May 2025 08:38:00      1.585    12.2068  24.225220     3.4609 1.1962e+02    273.094     95.442      1.571    19.9986    14.9366    1479.72 0.0000e+00
        377 27 May 2025 08:38:00      1.683    12.2118  24.659336     4.2601 1.0725e+02    271.880     95.106      1.668    20.3890    15.2373    1480.21 0.0000e+00
        378 27 May 2025 08:38:00      1.783    12.2152  25.157349     4.2811 1.0173e+02    270.396     94.624      1.767    20.8391    15.5844    1480.75 0.0000e+00
        379 27 May 2025 08:38:00      1.884    12.2153  25.649384     3.8024 9.4797e+01    268.912     94.082      1.867    21.2867    15.9301    1481.29 0.0000e+00
        380 27 May 2025 08:38:00      1.989    12.2112  26.083004     3.8119 8.8264e+01    267.496     93.561      1.971    21.6845    16.2381    1481.75 0.0000e+00
        381 27 May 2025 08:38:02      2.097    12.2034  26.469379     3.9855 8.5774e+01    266.382     93.161      2.078    22.0421    16.5156    1482.14 0.0000e+00
        382 27 May 2025 08:38:02      2.207    12.1934  26.825048     3.9759 7.7087e+01    265.165     92.723      2.187    22.3738    16.7735    1482.50 0.0000e+00
        383 27 May 2025 08:38:02      2.320    12.1827  27.153891     3.9931 6.9810e+01    264.055     92.317      2.299    22.6819    17.0135    1482.83 0.0000e+00
        384 27 May 2025 08:38:02      2.434    12.1723  27.464388     4.0236 6.4167e+01    263.085     91.966      2.412    22.9736    17.2407    1483.14 0.0000e+00
        385 27 May 2025 08:38:02      2.549    12.1626  27.769888     4.0236 5.9980e+01    262.420     91.728      2.525    23.2609    17.4643    1483.45 0.0000e+00
        386 27 May 2025 08:38:02      2.665    12.1535  28.081419     3.8729 5.6471e+01    261.815     91.500      2.641    23.5538    17.6923    1483.77 0.0000e+00
        387 27 May 2025 08:38:03      2.785    12.1449  28.404289     3.8767 5.3214e+01    261.260     91.293      2.759    23.8576    17.9286    1484.10 0.0000e+00
        388 27 May 2025 08:38:03      2.907    12.1362  28.734657     3.8825 5.0431e+01    260.655     91.077      2.881    24.1689    18.1708    1484.44 0.0000e+00
        389 27 May 2025 08:38:03      3.033    12.1250  29.065186     3.8863 4.6781e+01    260.944     91.171      3.006    24.4827    18.4154    1484.78 0.0000e+00
        390 27 May 2025 08:38:03      3.162    12.1069  29.386742     4.2983 4.3930e+01    260.394     90.972      3.133    24.7933    18.6587    1485.09 0.0000e+00
        391 27 May 2025 08:38:03      3.293    12.0807  29.684280     4.3002 4.1550e+01    260.148     90.884      3.263    25.0876    18.8909    1485.35 0.0000e+00
        392 27 May 2025 08:38:04      3.425    12.0500  29.954937     4.1075 3.9688e+01    259.932     90.815      3.393    25.3608    19.1075    1485.56 0.0000e+00
        393 27 May 2025 08:38:04      3.557    12.0174  30.208570     4.1209 3.7760e+01    259.658     90.720      3.525    25.6201    19.3137    1485.76 0.0000e+00
        394 27 May 2025 08:38:04      3.691    11.9825  30.449617     4.1896 3.5035e+01    259.484     90.650      3.657    25.8699    19.5131    1485.94 0.0000e+00
        395 27 May 2025 08:38:04      3.826    11.9441  30.670456     4.2010 3.2706e+01    259.485     90.641      3.791    26.1038    19.7008    1486.08 0.0000e+00
        396 27 May 2025 08:38:04      3.963    11.9034  30.856792     3.7032 3.0766e+01    259.354     90.594      3.927    26.3075    19.8655    1486.19 0.0000e+00
        397 27 May 2025 08:38:06      4.103    11.8646  30.999823     3.7032 2.9010e+01    259.130     90.513      4.065    26.4697    19.9978    1486.24 0.0000e+00
        398 27 May 2025 08:38:06      4.243    11.8314  31.101469     3.5124 2.7541e+01    259.373     90.593      4.205    26.5892    20.0961    1486.27 0.0000e+00
        399 27 May 2025 08:38:06      4.384    11.8051  31.170645     3.5143 2.6549e+01    259.171     90.514      4.344    26.6732    20.1657    1486.28 0.0000e+00
        400 27 May 2025 08:38:06      4.524    11.7846  31.216579     3.3503 2.5281e+01    259.059     90.468      4.483    26.7314    20.2143    1486.28 0.0000e+00
        401 27 May 2025 08:38:06      4.663    11.7680  31.247137     3.3541 2.3985e+01    258.970     90.434      4.620    26.7721    20.2487    1486.27 0.0000e+00
        402 27 May 2025 08:38:06      4.801    11.7542  31.268738     3.4400 2.2775e+01    258.815     90.374      4.757    26.8025    20.2746    1486.26 0.0000e+00
        403 27 May 2025 08:38:07      4.939    11.7421  31.285381     3.4571 2.1707e+01    258.855     90.381      4.894    26.8269    20.2956    1486.25 0.0000e+00
        404 27 May 2025 08:38:07      5.078    11.7311  31.298800     3.3751 2.0875e+01    258.631     90.286      5.032    26.8475    20.3135    1486.24 0.0000e+00
