       Scan DD MMM YYYY HH:MM:SS       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-é00       SvCM       Flag
        441 28 May 2025 09:26:08     -0.094    13.1921   0.111385     0.5198 1.5776e+03    335.577    102.375     -0.093     0.0695    -0.5915    1459.55 0.0000e+00
        442 28 May 2025 09:26:08     -0.093    13.1910   0.125669    -0.0563 1.5473e+03    335.797    102.438     -0.093     0.0782    -0.5846    1459.56 0.0000e+00
        443 28 May 2025 09:26:08     -0.093    13.1899   0.142496    -0.0544 1.5831e+03    335.896    102.464     -0.092     0.0885    -0.5764    1459.56 0.0000e+00
        444 28 May 2025 09:26:08     -0.093    13.1887   0.157588     0.2565 1.5567e+03    335.900    102.461     -0.092     0.0978    -0.5690    1459.57 0.0000e+00
        445 28 May 2025 09:26:08     -0.093    13.1875   0.168158     0.2394 1.5718e+03    335.862    102.446     -0.092     0.1043    -0.5637    1459.58 0.0000e+00
        446 28 May 2025 09:26:09     -0.092    13.1863   0.174267     0.3138 1.5622e+03    335.799    102.422     -0.092     0.1081    -0.5606    1459.58 0.0000e+00
        447 28 May 2025 09:26:09     -0.092    13.1851   0.177113     0.2794 1.5605e+03    336.011    102.483     -0.092     0.1099    -0.5591    1459.57 0.0000e+00
        448 28 May 2025 09:26:09     -0.092    13.1839   0.177880     0.4130 1.5598e+03    335.790    102.411     -0.092     0.1103    -0.5586    1459.57 0.0000e+00
        449 28 May 2025 09:26:09     -0.092    13.1827   0.177395     0.3996 1.5513e+03    335.875    102.434     -0.092     0.1100    -0.5587    1459.56 0.0000e+00
        450 28 May 2025 09:26:09     -0.093    13.1816   0.176288     0.3386 1.5732e+03    335.928    102.446     -0.092     0.1093    -0.5590    1459.56 0.0000e+00
        451 28 May 2025 09:26:09     -0.093    13.1804   0.175196     0.3443 1.5656e+03    335.852    102.419     -0.092     0.1087    -0.5594    1459.55 0.0000e+00
        452 28 May 2025 09:26:10     -0.092    13.1791   0.174720     0.3386 1.5660e+03    335.858    102.417     -0.092     0.1084    -0.5595    1459.55 0.0000e+00
        453 28 May 2025 09:26:10     -0.092    13.1779   0.175292     0.1173 1.5762e+03    335.695    102.363     -0.092     0.1087    -0.5590    1459.55 0.0000e+00
        454 28 May 2025 09:26:10     -0.092    13.1767   0.177052     0.1192 1.5718e+03    335.861    102.410     -0.091     0.1098    -0.5580    1459.54 0.0000e+00
        455 28 May 2025 09:26:10     -0.092    13.1755   0.179746     0.0525 1.5818e+03    335.891    102.416     -0.091     0.1115    -0.5566    1459.54 0.0000e+00
        456 28 May 2025 09:26:10     -0.092    13.1743   0.182899     0.0505 1.5725e+03    335.953    102.431     -0.091     0.1135    -0.5549    1459.54 0.0000e+00
        457 28 May 2025 09:26:11     -0.092    13.1730   0.185645     0.3405 1.5732e+03    335.980    102.436     -0.091     0.1152    -0.5534    1459.54 0.0000e+00
        458 28 May 2025 09:26:11     -0.092    13.1718   0.186898     0.3271 1.5619e+03    336.045    102.453     -0.091     0.1160    -0.5526    1459.53 0.0000e+00
        459 28 May 2025 09:26:11     -0.092    13.1705   0.186457     0.1631 1.5615e+03    336.037    102.444     -0.091     0.1157    -0.5527    1459.53 0.0000e+00
        460 28 May 2025 09:26:11     -0.092    13.1693   0.184889     0.1783 1.5608e+03    336.170    102.468     -0.091     0.1147    -0.5533    1459.52 0.0000e+00
        461 28 May 2025 09:26:11     -0.092    13.1680   0.182679     0.7601 1.5707e+03    336.061    102.429     -0.091     0.1134    -0.5542    1459.51 0.0000e+00
        462 28 May 2025 09:26:13     -0.092    13.1668   0.180126     0.7639 1.5646e+03    335.966    102.397     -0.091     0.1118    -0.5552    1459.51 0.0000e+00
        463 28 May 2025 09:26:13     -0.092    13.1655   0.177430     0.1803 1.5797e+03    335.981    102.398     -0.091     0.1101    -0.5564    1459.50 0.0000e+00
        464 28 May 2025 09:26:13     -0.092    13.1642   0.174715     0.1822 1.5776e+03    336.107    102.428     -0.092     0.1084    -0.5575    1459.49 0.0000e+00
        465 28 May 2025 09:26:13     -0.092    13.1630   0.172033     0.1860 1.5670e+03    336.086    102.411     -0.092     0.1068    -0.5587    1459.49 0.0000e+00
        466 28 May 2025 09:26:13     -0.092    13.1617   0.169412     0.1822 1.5711e+03    336.243    102.447     -0.092     0.1051    -0.5598    1459.48 0.0000e+00
        467 28 May 2025 09:26:14     -0.092    13.1604   0.166863    -0.0029 1.5701e+03    336.192    102.421     -0.092     0.1036    -0.5608    1459.47 0.0000e+00
